1,A,Netherlands,Ecuador
1,B,USA,England
1,C,Poland,Saudi Arabia
1,D,Denmark,France
1,E,Spain,Germany
1,F,Croatia,Belgium
1,G,Switzerland,Serbia
1,H,Portugal,Uruguay
2,A,Netherlands,Ecuador
2,B,England,USA
2,C,Saudi Arabia,Argentina
2,D,France,Australia
2,E,Spain,Germany
2,F,Croatia,Canada
2,G,Brazil,Serbia
2,H,Portugal,Uruguay
3,A,Ecuador,Netherlands
3,B,England,USA
3,C,Argentina,Saudi Arabia
3,D,Denmark,Tunisia
3,E,Japan,Spain
3,F,Canada,Croatia
3,G,Brazil,Cameroon
3,H,Uruguay,South Korea
4,A,Netherlands,Senegal
4,B,England,USA
4,C,Argentina,Poland
4,D,Denmark,France
4,E,Japan,Spain
4,F,Belgium,Croatia
4,G,Brazil,Cameroon
4,H,Portugal,Uruguay
5,A,Netherlands,Ecuador
5,B,England,Wales
5,C,Argentina,Poland
5,D,Denmark,Tunisia
5,E,Germany,Spain
5,F,Belgium,Croatia
5,G,Brazil,Serbia
5,H,Portugal,South Korea
6,A,Ecuador,Netherlands
6,B,England,Iran
6,C,Argentina,Poland
6,D,France,Denmark
6,E,Germany,Japan
6,F,Belgium,Morocco
6,G,Serbia,Brazil
6,H,Uruguay,Portugal
7,A,Netherlands,Senegal
7,B,England,USA
7,C,Argentina,Mexico
7,D,Denmark,France
7,E,Germany,Spain
7,F,Belgium,Morocco
7,G,Switzerland,Brazil
7,H,Portugal,Uruguay
8,A,Netherlands,Senegal
8,B,USA,Iran
8,C,Argentina,Poland
8,D,Australia,France
8,E,Germany,Japan
8,F,Belgium,Croatia
8,G,Brazil,Switzerland
8,H,Uruguay,Portugal
9,A,Netherlands,Senegal
9,B,England,Iran
9,C,Argentina,Mexico
9,D,Australia,Denmark
9,E,Germany,Spain
9,F,Morocco,Croatia
9,G,Brazil,Serbia
9,H,Uruguay,Ghana
10,A,Netherlands,Qatar
10,B,England,USA
10,C,Argentina,Mexico
10,D,Denmark,France
10,E,Spain,Germany
10,F,Belgium,Croatia
10,G,Brazil,Cameroon
10,H,Portugal,South Korea
11,A,Netherlands,Ecuador
11,B,England,USA
11,C,Poland,Argentina
11,D,Denmark,France
11,E,Germany,Costa Rica
11,F,Belgium,Morocco
11,G,Serbia,Brazil
11,H,Uruguay,Ghana
12,A,Ecuador,Qatar
12,B,England,USA
12,C,Argentina,Mexico
12,D,France,Denmark
12,E,Germany,Japan
12,F,Belgium,Croatia
12,G,Brazil,Cameroon
12,H,Ghana,Portugal
13,A,Ecuador,Netherlands
13,B,England,USA
13,C,Argentina,Poland
13,D,Denmark,France
13,E,Spain,Germany
13,F,Morocco,Belgium
13,G,Brazil,Cameroon
13,H,Portugal,South Korea
14,A,Netherlands,Ecuador
14,B,England,Wales
14,C,Argentina,Mexico
14,D,France,Denmark
14,E,Germany,Spain
14,F,Belgium,Canada
14,G,Brazil,Serbia
14,H,Portugal,South Korea
15,A,Netherlands,Senegal
15,B,Wales,England
15,C,Argentina,Mexico
15,D,France,Denmark
15,E,Germany,Spain
15,F,Belgium,Morocco
15,G,Brazil,Switzerland
15,H,Portugal,South Korea
16,A,Netherlands,Senegal
16,B,England,Iran
16,C,Argentina,Poland
16,D,Denmark,France
16,E,Spain,Germany
16,F,Belgium,Croatia
16,G,Serbia,Switzerland
16,H,Portugal,Ghana
17,A,Netherlands,Ecuador
17,B,England,USA
17,C,Poland,Argentina
17,D,Denmark,France
17,E,Germany,Japan
17,F,Belgium,Canada
17,G,Brazil,Cameroon
17,H,Portugal,Ghana
18,A,Netherlands,Qatar
18,B,England,USA
18,C,Saudi Arabia,Mexico
18,D,France,Denmark
18,E,Germany,Spain
18,F,Belgium,Canada
18,G,Brazil,Switzerland
18,H,Uruguay,Ghana
19,A,Netherlands,Ecuador
19,B,England,Iran
19,C,Argentina,Poland
19,D,France,Australia
19,E,Spain,Germany
19,F,Croatia,Belgium
19,G,Brazil,Switzerland
19,H,Portugal,Uruguay
20,A,Netherlands,Qatar
20,B,Wales,England
20,C,Argentina,Mexico
20,D,Denmark,France
20,E,Germany,Japan
20,F,Belgium,Croatia
20,G,Brazil,Cameroon
20,H,Portugal,Uruguay
21,A,Netherlands,Senegal
21,B,England,USA
21,C,Argentina,Mexico
21,D,Denmark,France
21,E,Germany,Spain
21,F,Belgium,Croatia
21,G,Switzerland,Serbia
21,H,Portugal,South Korea
22,A,Ecuador,Senegal
22,B,England,USA
22,C,Argentina,Mexico
22,D,France,Denmark
22,E,Germany,Spain
22,F,Belgium,Canada
22,G,Brazil,Serbia
22,H,Ghana,Portugal
23,A,Ecuador,Netherlands
23,B,England,USA
23,C,Poland,Mexico
23,D,Denmark,France
23,E,Germany,Spain
23,F,Belgium,Croatia
23,G,Brazil,Serbia
23,H,Portugal,South Korea
24,A,Netherlands,Senegal
24,B,Wales,England
24,C,Mexico,Argentina
24,D,France,Denmark
24,E,Germany,Spain
24,F,Croatia,Canada
24,G,Brazil,Cameroon
24,H,Uruguay,Portugal
25,A,Netherlands,Qatar
25,B,USA,England
25,C,Argentina,Mexico
25,D,France,Tunisia
25,E,Japan,Spain
25,F,Canada,Belgium
25,G,Brazil,Cameroon
25,H,Portugal,Uruguay
26,A,Netherlands,Qatar
26,B,England,Wales
26,C,Poland,Argentina
26,D,Denmark,France
26,E,Spain,Costa Rica
26,F,Croatia,Morocco
26,G,Serbia,Brazil
26,H,Uruguay,Portugal
27,A,Ecuador,Netherlands
27,B,England,USA
27,C,Argentina,Mexico
27,D,France,Denmark
27,E,Spain,Costa Rica
27,F,Croatia,Canada
27,G,Brazil,Serbia
27,H,Portugal,Uruguay
28,A,Netherlands,Ecuador
28,B,USA,England
28,C,Argentina,Saudi Arabia
28,D,France,Tunisia
28,E,Spain,Germany
28,F,Croatia,Belgium
28,G,Brazil,Switzerland
28,H,Portugal,Uruguay
29,A,Netherlands,Ecuador
29,B,Wales,England
29,C,Argentina,Mexico
29,D,France,Tunisia
29,E,Germany,Spain
29,F,Belgium,Croatia
29,G,Brazil,Serbia
29,H,Portugal,Ghana
30,A,Senegal,Ecuador
30,B,England,Iran
30,C,Poland,Argentina
30,D,France,Denmark
30,E,Spain,Japan
30,F,Canada,Croatia
30,G,Brazil,Switzerland
30,H,Portugal,Uruguay
31,A,Senegal,Ecuador
31,B,England,USA
31,C,Argentina,Poland
31,D,France,Denmark
31,E,Japan,Germany
31,F,Belgium,Croatia
31,G,Brazil,Cameroon
31,H,Portugal,Ghana
32,A,Netherlands,Ecuador
32,B,USA,England
32,C,Argentina,Poland
32,D,France,Australia
32,E,Spain,Japan
32,F,Belgium,Canada
32,G,Cameroon,Switzerland
32,H,Uruguay,Ghana
33,A,Netherlands,Ecuador
33,B,USA,England
33,C,Poland,Argentina
33,D,Denmark,France
33,E,Germany,Spain
33,F,Croatia,Belgium
33,G,Brazil,Switzerland
33,H,South Korea,Uruguay
34,A,Netherlands,Qatar
34,B,England,Iran
34,C,Argentina,Poland
34,D,France,Denmark
34,E,Spain,Germany
34,F,Belgium,Canada
34,G,Brazil,Cameroon
34,H,Ghana,Uruguay
35,A,Netherlands,Senegal
35,B,England,Iran
35,C,Argentina,Mexico
35,D,Denmark,France
35,E,Germany,Spain
35,F,Belgium,Croatia
35,G,Brazil,Serbia
35,H,South Korea,Portugal
36,A,Senegal,Netherlands
36,B,England,Wales
36,C,Argentina,Mexico
36,D,Denmark,France
36,E,Germany,Spain
36,F,Belgium,Croatia
36,G,Brazil,Switzerland
36,H,South Korea,Portugal
37,A,Netherlands,Senegal
37,B,England,Wales
37,C,Poland,Argentina
37,D,Denmark,France
37,E,Germany,Japan
37,F,Belgium,Croatia
37,G,Brazil,Serbia
37,H,Portugal,South Korea
38,A,Senegal,Ecuador
38,B,England,Wales
38,C,Mexico,Argentina
38,D,France,Australia
38,E,Germany,Spain
38,F,Morocco,Canada
38,G,Brazil,Switzerland
38,H,Portugal,Uruguay
39,A,Netherlands,Qatar
39,B,Wales,England
39,C,Argentina,Mexico
39,D,France,Denmark
39,E,Germany,Spain
39,F,Belgium,Croatia
39,G,Brazil,Serbia
39,H,Portugal,Ghana
40,A,Ecuador,Senegal
40,B,England,Wales
40,C,Argentina,Poland
40,D,France,Australia
40,E,Spain,Germany
40,F,Belgium,Canada
40,G,Brazil,Switzerland
40,H,Portugal,South Korea
41,A,Netherlands,Qatar
41,B,England,USA
41,C,Poland,Argentina
41,D,Denmark,France
41,E,Germany,Spain
41,F,Canada,Belgium
41,G,Switzerland,Brazil
41,H,Uruguay,Ghana
42,A,Ecuador,Senegal
42,B,Wales,England
42,C,Argentina,Mexico
42,D,France,Denmark
42,E,Spain,Japan
42,F,Croatia,Belgium
42,G,Brazil,Cameroon
42,H,Uruguay,Portugal
43,A,Ecuador,Netherlands
43,B,England,USA
43,C,Argentina,Poland
43,D,Denmark,France
43,E,Germany,Spain
43,F,Croatia,Canada
43,G,Serbia,Brazil
43,H,Ghana,Uruguay
44,A,Netherlands,Ecuador
44,B,England,Iran
44,C,Argentina,Saudi Arabia
44,D,France,Denmark
44,E,Germany,Spain
44,F,Morocco,Belgium
44,G,Brazil,Switzerland
44,H,Portugal,South Korea
45,A,Netherlands,Senegal
45,B,England,Wales
45,C,Mexico,Argentina
45,D,France,Denmark
45,E,Spain,Germany
45,F,Croatia,Belgium
45,G,Brazil,Cameroon
45,H,Ghana,Uruguay
46,A,Senegal,Netherlands
46,B,England,USA
46,C,Argentina,Saudi Arabia
46,D,Denmark,France
46,E,Japan,Spain
46,F,Canada,Belgium
46,G,Brazil,Switzerland
46,H,Portugal,South Korea
47,A,Netherlands,Senegal
47,B,England,USA
47,C,Argentina,Mexico
47,D,Denmark,France
47,E,Spain,Germany
47,F,Belgium,Croatia
47,G,Brazil,Switzerland
47,H,Uruguay,Portugal
48,A,Netherlands,Qatar
48,B,England,USA
48,C,Mexico,Poland
48,D,Denmark,France
48,E,Germany,Spain
48,F,Canada,Belgium
48,G,Serbia,Switzerland
48,H,Uruguay,Portugal
49,A,Netherlands,Qatar
49,B,USA,England
49,C,Argentina,Poland
49,D,France,Denmark
49,E,Japan,Germany
49,F,Belgium,Croatia
49,G,Brazil,Switzerland
49,H,Ghana,Portugal
50,A,Ecuador,Netherlands
50,B,England,USA
50,C,Argentina,Poland
50,D,France,Australia
50,E,Japan,Spain
50,F,Croatia,Belgium
50,G,Brazil,Serbia
50,H,Ghana,Uruguay
51,A,Netherlands,Senegal
51,B,England,Iran
51,C,Argentina,Mexico
51,D,France,Denmark
51,E,Spain,Japan
51,F,Croatia,Belgium
51,G,Brazil,Serbia
51,H,Uruguay,Portugal
52,A,Netherlands,Senegal
52,B,Iran,USA
52,C,Argentina,Mexico
52,D,France,Denmark
52,E,Germany,Spain
52,F,Belgium,Canada
52,G,Cameroon,Serbia
52,H,Uruguay,Portugal
53,A,Ecuador,Netherlands
53,B,England,Iran
53,C,Argentina,Poland
53,D,Australia,Denmark
53,E,Germany,Spain
53,F,Belgium,Croatia
53,G,Brazil,Serbia
53,H,Portugal,Uruguay
54,A,Netherlands,Qatar
54,B,Wales,England
54,C,Argentina,Mexico
54,D,France,Denmark
54,E,Germany,Spain
54,F,Croatia,Belgium
54,G,Switzerland,Brazil
54,H,Portugal,Uruguay
55,A,Ecuador,Senegal
55,B,England,Iran
55,C,Mexico,Argentina
55,D,Australia,Denmark
55,E,Spain,Japan
55,F,Croatia,Belgium
55,G,Brazil,Cameroon
55,H,Uruguay,Portugal
56,A,Netherlands,Qatar
56,B,England,Iran
56,C,Argentina,Poland
56,D,France,Denmark
56,E,Germany,Spain
56,F,Croatia,Morocco
56,G,Brazil,Cameroon
56,H,Portugal,Ghana
57,A,Netherlands,Ecuador
57,B,Iran,England
57,C,Poland,Mexico
57,D,Denmark,France
57,E,Spain,Germany
57,F,Belgium,Croatia
57,G,Serbia,Cameroon
57,H,Portugal,Uruguay
58,A,Ecuador,Netherlands
58,B,England,USA
58,C,Argentina,Mexico
58,D,Denmark,France
58,E,Germany,Costa Rica
58,F,Belgium,Croatia
58,G,Brazil,Cameroon
58,H,Portugal,Uruguay
59,A,Netherlands,Qatar
59,B,England,Wales
59,C,Poland,Argentina
59,D,Denmark,France
59,E,Germany,Spain
59,F,Canada,Belgium
59,G,Brazil,Switzerland
59,H,Portugal,South Korea
60,A,Senegal,Netherlands
60,B,England,USA
60,C,Argentina,Poland
60,D,Denmark,Australia
60,E,Germany,Costa Rica
60,F,Belgium,Morocco
60,G,Brazil,Serbia
60,H,Uruguay,Portugal
61,A,Senegal,Qatar
61,B,England,Wales
61,C,Poland,Argentina
61,D,France,Tunisia
61,E,Japan,Spain
61,F,Belgium,Croatia
61,G,Brazil,Switzerland
61,H,Uruguay,Portugal
62,A,Netherlands,Qatar
62,B,England,Iran
62,C,Argentina,Poland
62,D,France,Australia
62,E,Spain,Germany
62,F,Belgium,Croatia
62,G,Brazil,Switzerland
62,H,Portugal,South Korea
63,A,Senegal,Netherlands
63,B,Wales,England
63,C,Argentina,Mexico
63,D,Denmark,France
63,E,Spain,Germany
63,F,Croatia,Belgium
63,G,Brazil,Serbia
63,H,Uruguay,South Korea
64,A,Netherlands,Ecuador
64,B,England,USA
64,C,Argentina,Mexico
64,D,France,Denmark
64,E,Germany,Japan
64,F,Croatia,Canada
64,G,Switzerland,Brazil
64,H,Portugal,Uruguay
65,A,Netherlands,Senegal
65,B,Wales,England
65,C,Argentina,Mexico
65,D,France,Tunisia
65,E,Germany,Japan
65,F,Belgium,Croatia
65,G,Brazil,Serbia
65,H,Portugal,South Korea
66,A,Netherlands,Senegal
66,B,England,USA
66,C,Argentina,Saudi Arabia
66,D,Denmark,Australia
66,E,Germany,Spain
66,F,Croatia,Belgium
66,G,Brazil,Serbia
66,H,Portugal,Ghana
67,A,Netherlands,Senegal
67,B,England,Iran
67,C,Argentina,Mexico
67,D,France,Denmark
67,E,Germany,Spain
67,F,Belgium,Morocco
67,G,Brazil,Cameroon
67,H,Uruguay,Portugal
68,A,Senegal,Netherlands
68,B,England,USA
68,C,Argentina,Poland
68,D,Denmark,France
68,E,Spain,Germany
68,F,Canada,Croatia
68,G,Brazil,Serbia
68,H,Portugal,Uruguay
69,A,Netherlands,Ecuador
69,B,England,Iran
69,C,Argentina,Saudi Arabia
69,D,Denmark,France
69,E,Germany,Spain
69,F,Belgium,Croatia
69,G,Brazil,Switzerland
69,H,Portugal,Ghana
70,A,Netherlands,Qatar
70,B,England,USA
70,C,Argentina,Mexico
70,D,France,Denmark
70,E,Germany,Spain
70,F,Belgium,Croatia
70,G,Brazil,Switzerland
70,H,Portugal,Ghana
71,A,Netherlands,Qatar
71,B,England,Wales
71,C,Argentina,Mexico
71,D,France,Australia
71,E,Spain,Germany
71,F,Belgium,Morocco
71,G,Brazil,Serbia
71,H,Portugal,Uruguay
72,A,Netherlands,Senegal
72,B,Wales,Iran
72,C,Argentina,Mexico
72,D,Denmark,France
72,E,Spain,Germany
72,F,Belgium,Morocco
72,G,Brazil,Switzerland
72,H,Portugal,South Korea
73,A,Netherlands,Ecuador
73,B,England,Wales
73,C,Argentina,Poland
73,D,France,Tunisia
73,E,Germany,Spain
73,F,Belgium,Canada
73,G,Brazil,Serbia
73,H,South Korea,Portugal
74,A,Netherlands,Senegal
74,B,USA,England
74,C,Argentina,Saudi Arabia
74,D,France,Denmark
74,E,Spain,Germany
74,F,Belgium,Croatia
74,G,Switzerland,Brazil
74,H,Portugal,Uruguay
75,A,Netherlands,Qatar
75,B,England,Wales
75,C,Argentina,Poland
75,D,Denmark,France
75,E,Germany,Spain
75,F,Belgium,Canada
75,G,Serbia,Brazil
75,H,Uruguay,Portugal
76,A,Netherlands,Ecuador
76,B,England,USA
76,C,Argentina,Poland
76,D,Denmark,Tunisia
76,E,Spain,Germany
76,F,Morocco,Belgium
76,G,Serbia,Brazil
76,H,Portugal,Uruguay
77,A,Netherlands,Ecuador
77,B,England,Iran
77,C,Argentina,Mexico
77,D,Denmark,France
77,E,Germany,Spain
77,F,Croatia,Belgium
77,G,Brazil,Cameroon
77,H,Portugal,Ghana
78,A,Netherlands,Qatar
78,B,England,USA
78,C,Argentina,Poland
78,D,Denmark,France
78,E,Germany,Japan
78,F,Belgium,Morocco
78,G,Brazil,Serbia
78,H,Portugal,Uruguay
79,A,Ecuador,Netherlands
79,B,England,USA
79,C,Argentina,Mexico
79,D,Denmark,France
79,E,Germany,Japan
79,F,Croatia,Morocco
79,G,Switzerland,Brazil
79,H,Portugal,Uruguay
80,A,Netherlands,Ecuador
80,B,England,USA
80,C,Argentina,Mexico
80,D,Denmark,Australia
80,E,Germany,Spain
80,F,Belgium,Croatia
80,G,Brazil,Switzerland
80,H,Uruguay,Ghana
81,A,Netherlands,Ecuador
81,B,England,Wales
81,C,Argentina,Poland
81,D,France,Tunisia
81,E,Japan,Spain
81,F,Croatia,Canada
81,G,Brazil,Switzerland
81,H,Portugal,Ghana
82,A,Netherlands,Senegal
82,B,Wales,England
82,C,Argentina,Poland
82,D,Denmark,France
82,E,Germany,Japan
82,F,Belgium,Canada
82,G,Brazil,Switzerland
82,H,Ghana,Portugal
83,A,Senegal,Ecuador
83,B,England,USA
83,C,Argentina,Mexico
83,D,Denmark,France
83,E,Germany,Spain
83,F,Morocco,Croatia
83,G,Brazil,Serbia
83,H,Portugal,South Korea
84,A,Netherlands,Senegal
84,B,USA,England
84,C,Argentina,Poland
84,D,France,Tunisia
84,E,Spain,Germany
84,F,Croatia,Morocco
84,G,Brazil,Serbia
84,H,Ghana,Portugal
85,A,Netherlands,Qatar
85,B,England,Wales
85,C,Saudi Arabia,Argentina
85,D,Australia,France
85,E,Spain,Germany
85,F,Croatia,Belgium
85,G,Brazil,Serbia
85,H,Portugal,Uruguay
86,A,Ecuador,Netherlands
86,B,England,Iran
86,C,Poland,Argentina
86,D,Denmark,France
86,E,Spain,Germany
86,F,Belgium,Croatia
86,G,Serbia,Brazil
86,H,Portugal,Uruguay
87,A,Ecuador,Netherlands
87,B,England,USA
87,C,Mexico,Saudi Arabia
87,D,France,Tunisia
87,E,Spain,Germany
87,F,Belgium,Canada
87,G,Brazil,Serbia
87,H,Portugal,Ghana
88,A,Netherlands,Ecuador
88,B,USA,England
88,C,Argentina,Mexico
88,D,Denmark,France
88,E,Spain,Germany
88,F,Croatia,Belgium
88,G,Brazil,Serbia
88,H,Uruguay,Portugal
89,A,Netherlands,Qatar
89,B,England,USA
89,C,Argentina,Mexico
89,D,Denmark,France
89,E,Germany,Spain
89,F,Belgium,Croatia
89,G,Brazil,Switzerland
89,H,Uruguay,Portugal
90,A,Netherlands,Qatar
90,B,England,USA
90,C,Argentina,Poland
90,D,France,Denmark
90,E,Germany,Japan
90,F,Belgium,Canada
90,G,Brazil,Switzerland
90,H,Portugal,Uruguay
91,A,Netherlands,Senegal
91,B,USA,England
91,C,Poland,Mexico
91,D,France,Australia
91,E,Germany,Japan
91,F,Belgium,Croatia
91,G,Brazil,Serbia
91,H,Portugal,Uruguay
92,A,Qatar,Ecuador
92,B,England,Iran
92,C,Argentina,Mexico
92,D,France,Tunisia
92,E,Germany,Spain
92,F,Belgium,Croatia
92,G,Brazil,Switzerland
92,H,Portugal,Ghana
93,A,Netherlands,Ecuador
93,B,England,Wales
93,C,Argentina,Saudi Arabia
93,D,France,Denmark
93,E,Germany,Spain
93,F,Belgium,Croatia
93,G,Brazil,Serbia
93,H,Portugal,South Korea
94,A,Netherlands,Qatar
94,B,USA,Wales
94,C,Argentina,Poland
94,D,Australia,France
94,E,Germany,Spain
94,F,Croatia,Morocco
94,G,Brazil,Switzerland
94,H,South Korea,Uruguay
95,A,Netherlands,Senegal
95,B,England,Wales
95,C,Argentina,Poland
95,D,Australia,Denmark
95,E,Japan,Spain
95,F,Belgium,Canada
95,G,Brazil,Serbia
95,H,Ghana,South Korea
96,A,Netherlands,Ecuador
96,B,England,Iran
96,C,Argentina,Poland
96,D,Denmark,Australia
96,E,Germany,Japan
96,F,Belgium,Canada
96,G,Switzerland,Brazil
96,H,Portugal,Uruguay
97,A,Senegal,Ecuador
97,B,England,Wales
97,C,Argentina,Poland
97,D,France,Denmark
97,E,Spain,Germany
97,F,Belgium,Croatia
97,G,Brazil,Cameroon
97,H,Ghana,Portugal
98,A,Ecuador,Netherlands
98,B,England,Iran
98,C,Argentina,Poland
98,D,France,Denmark
98,E,Japan,Spain
98,F,Croatia,Belgium
98,G,Brazil,Serbia
98,H,Ghana,Portugal
99,A,Qatar,Senegal
99,B,England,Iran
99,C,Argentina,Mexico
99,D,France,Australia
99,E,Spain,Germany
99,F,Belgium,Canada
99,G,Serbia,Brazil
99,H,Portugal,Ghana
100,A,Netherlands,Ecuador
100,B,Wales,England
100,C,Poland,Argentina
100,D,France,Denmark
100,E,Germany,Spain
100,F,Belgium,Canada
100,G,Brazil,Serbia
100,H,Uruguay,Portugal
101,A,Qatar,Netherlands
101,B,Iran,England
101,C,Mexico,Argentina
101,D,Denmark,France
101,E,Japan,Spain
101,F,Belgium,Croatia
101,G,Brazil,Serbia
101,H,Uruguay,Portugal
102,A,Ecuador,Netherlands
102,B,England,Wales
102,C,Argentina,Mexico
102,D,France,Tunisia
102,E,Germany,Japan
102,F,Belgium,Croatia
102,G,Cameroon,Switzerland
102,H,Uruguay,Ghana
103,A,Ecuador,Netherlands
103,B,England,USA
103,C,Argentina,Mexico
103,D,France,Denmark
103,E,Germany,Japan
103,F,Belgium,Canada
103,G,Serbia,Brazil
103,H,Uruguay,Portugal
104,A,Netherlands,Ecuador
104,B,England,Wales
104,C,Argentina,Mexico
104,D,Denmark,France
104,E,Germany,Japan
104,F,Belgium,Croatia
104,G,Serbia,Brazil
104,H,Uruguay,Ghana
105,A,Netherlands,Senegal
105,B,England,USA
105,C,Mexico,Argentina
105,D,Denmark,France
105,E,Germany,Japan
105,F,Belgium,Croatia
105,G,Serbia,Switzerland
105,H,Portugal,Uruguay
106,A,Senegal,Ecuador
106,B,England,USA
106,C,Argentina,Mexico
106,D,Denmark,France
106,E,Germany,Spain
106,F,Croatia,Morocco
106,G,Brazil,Serbia
106,H,Uruguay,South Korea
107,A,Netherlands,Senegal
107,B,England,USA
107,C,Mexico,Argentina
107,D,Denmark,Tunisia
107,E,Spain,Germany
107,F,Croatia,Canada
107,G,Brazil,Serbia
107,H,South Korea,Portugal
108,A,Netherlands,Ecuador
108,B,Iran,USA
108,C,Argentina,Saudi Arabia
108,D,Denmark,Australia
108,E,Germany,Spain
108,F,Croatia,Morocco
108,G,Brazil,Serbia
108,H,Uruguay,Ghana
109,A,Netherlands,Senegal
109,B,England,Wales
109,C,Argentina,Poland
109,D,France,Australia
109,E,Spain,Japan
109,F,Morocco,Belgium
109,G,Brazil,Switzerland
109,H,Uruguay,Portugal
110,A,Senegal,Ecuador
110,B,England,Wales
110,C,Argentina,Mexico
110,D,France,Denmark
110,E,Germany,Japan
110,F,Belgium,Croatia
110,G,Brazil,Switzerland
110,H,Ghana,Portugal
111,A,Netherlands,Ecuador
111,B,Wales,England
111,C,Argentina,Poland
111,D,Denmark,France
111,E,Spain,Germany
111,F,Croatia,Belgium
111,G,Brazil,Serbia
111,H,Portugal,South Korea
112,A,Ecuador,Netherlands
112,B,England,Wales
112,C,Argentina,Poland
112,D,France,Denmark
112,E,Germany,Spain
112,F,Belgium,Croatia
112,G,Brazil,Cameroon
112,H,Uruguay,South Korea
113,A,Netherlands,Ecuador
113,B,USA,England
113,C,Argentina,Mexico
113,D,Denmark,France
113,E,Germany,Spain
113,F,Morocco,Croatia
113,G,Brazil,Switzerland
113,H,Ghana,Uruguay
114,A,Netherlands,Ecuador
114,B,Iran,USA
114,C,Mexico,Poland
114,D,Denmark,Tunisia
114,E,Spain,Germany
114,F,Belgium,Canada
114,G,Brazil,Switzerland
114,H,Uruguay,Portugal
115,A,Netherlands,Ecuador
115,B,England,Wales
115,C,Poland,Argentina
115,D,Tunisia,Denmark
115,E,Spain,Germany
115,F,Canada,Belgium
115,G,Brazil,Switzerland
115,H,Uruguay,Portugal
116,A,Netherlands,Ecuador
116,B,England,USA
116,C,Argentina,Poland
116,D,France,Tunisia
116,E,Germany,Japan
116,F,Croatia,Belgium
116,G,Brazil,Switzerland
116,H,Uruguay,Portugal
117,A,Netherlands,Senegal
117,B,England,Wales
117,C,Argentina,Saudi Arabia
117,D,Denmark,France
